beta_deg,theta_deg,range_mm
0.0,359.685,2417.5
0.0,0.469,2087.5
0.0,1.178,2069.2
0.0,1.886,2054.2
0.0,2.587,2061.2
0.0,3.29,2063.2
0.0,3.994,2061.2
0.0,4.702,2048.2
0.0,5.405,2048.2
0.0,6.123,2051.2
0.0,6.826,2054.2
0.0,7.528,2058.2
0.0,8.231,2059.2
0.0,8.933,2065.2
0.0,9.635,2069.2
0.0,10.338,2073.2
0.0,11.04,2077.2
0.0,11.743,2081.2
0.0,12.448,2076.2
0.0,13.154,2066.2
0.0,13.857,2066.2
0.0,14.547,2117.2
0.0,15.241,2152.2
0.0,15.947,2140.2
0.0,16.652,2136.2
0.0,17.355,2138.2
0.0,18.056,2148.2
0.0,18.757,2157.2
0.0,19.458,2167.2
0.0,20.16,2173.2
0.0,20.86,2187.2
0.0,21.567,2174.2
0.0,22.27,2174.2
0.0,22.886,2573.5
0.0,23.59,2573.2
0.0,24.295,2565.2
0.0,25.001,2548.2
0.0,25.71,2521.2
0.0,26.427,2452.5
0.0,27.144,2390.5
0.0,27.86,2333.2
0.0,28.575,2284.2
0.0,29.292,2227.2
0.0,30.007,2183.2
0.0,30.722,2138.2
0.0,31.437,2095.2
0.0,32.152,2055.2
0.0,32.868,2015.2
0.0,33.583,1977.2
0.0,34.25,1944.2
0.0,34.967,1910.2
0.0,35.686,1875.2
0.0,36.403,1844.2
0.0,37.119,1817.2
0.0,37.837,1787.2
0.0,38.554,1759.2
0.0,39.271,1732.2
0.0,39.989,1706.2
0.0,40.706,1680.2
0.0,41.422,1658.2
0.0,42.139,1635.2
0.0,42.855,1614.2
0.0,43.572,1592.2
0.0,44.287,1573.2
0.0,45.005,1551.2
0.0,45.72,1534.2
0.0,46.437,1514.2
0.0,47.152,1497.2
0.0,47.868,1480.2
0.0,48.584,1463.2
0.0,49.298,1450.2
0.0,50.014,1434.2
0.0,50.729,1419.2
0.0,51.443,1407.2
0.0,52.159,1392.2
0.0,52.872,1381.2
0.0,53.587,1368.2
0.0,54.302,1355.2
0.0,55.016,1343.2
0.0,55.729,1333.2
0.0,56.444,1321.2
0.0,57.158,1310.2
0.0,57.871,1301.2
0.0,58.585,1291.2
0.0,59.298,1282.2
0.0,60.011,1273.2
0.0,60.723,1265.2
0.0,61.437,1256.2
0.0,62.15,1247.2
0.0,62.811,1241.2
0.0,63.524,1232.2
0.0,64.235,1225.2
0.0,64.946,1218.2
0.0,65.658,1211.2
0.0,66.368,1205.2
0.0,67.079,1199.2
0.0,67.79,1193.2
0.0,68.499,1188.2
0.0,69.211,1181.2
0.0,69.921,1176.2
0.0,70.63,1172.2
0.0,71.341,1166.2
0.0,72.05,1162.2
0.0,72.76,1157.2
0.0,73.469,1154.2
0.0,74.178,1150.2
0.0,74.888,1145.2
0.0,75.597,1141.2
0.0,76.306,1138.2
0.0,77.014,1135.2
0.0,77.723,1132.2
0.0,78.431,1129.2
0.0,79.138,1127.2
0.0,79.846,1125.2
0.0,80.554,1122.2
0.0,81.263,1119.2
0.0,81.97,1117.2
0.0,82.678,1115.2
0.0,83.384,1114.2
0.0,84.091,1113.2
0.0,84.798,1111.2
0.0,85.503,1112.2
0.0,86.209,1111.2
0.0,86.917,1109.2
0.0,87.622,1110.2
0.0,88.328,1109.2
0.0,89.033,1110.2
0.0,89.739,1109.2
0.0,90.444,1110.2
0.0,91.162,1110.2
0.0,91.868,1110.2
0.0,92.572,1111.2
0.0,93.278,1111.2
0.0,93.983,1112.2
0.0,94.687,1113.2
0.0,95.392,1114.2
0.0,96.095,1116.2
0.0,96.8,1117.2
0.0,97.503,1119.2
0.0,98.207,1121.2
0.0,98.909,1124.2
0.0,99.613,1126.2
0.0,100.317,1128.2
0.0,101.019,1131.2
0.0,101.723,1133.2
0.0,102.424,1138.2
0.0,103.127,1140.2
0.0,103.83,1143.2
0.0,104.532,1147.2
0.0,105.233,1151.2
0.0,105.935,1155.2
0.0,106.637,1159.2
0.0,107.338,1164.2
0.0,108.04,1168.2
0.0,108.74,1174.2
0.0,109.441,1179.2
0.0,110.142,1184.2
0.0,110.844,1189.2
0.0,111.543,1196.2
0.0,112.243,1202.2
0.0,112.943,1209.2
0.0,113.644,1214.2
0.0,114.344,1221.2
0.0,115.044,1228.2
0.0,115.744,1235.2
0.0,116.441,1245.2
0.0,117.142,1251.2
0.0,117.84,1261.2
0.0,118.538,1270.2
0.0,119.25,1279.2
0.0,119.949,1287.2
0.0,120.646,1296.2
0.0,121.343,1306.2
0.0,122.039,1318.2
0.0,122.736,1328.2
0.0,123.433,1339.2
0.0,124.13,1350.2
0.0,124.826,1363.2
0.0,125.523,1374.2
0.0,126.219,1386.2
0.0,126.915,1400.2
0.0,127.61,1415.2
0.0,128.306,1429.2
0.0,129.002,1442.2
0.0,129.698,1457.2
0.0,130.394,1472.2
0.0,131.088,1490.2
0.0,131.784,1505.2
0.0,132.479,1522.2
0.0,133.173,1541.2
0.0,133.869,1559.2
0.0,134.564,1577.2
0.0,135.259,1596.2
0.0,135.953,1618.2
0.0,136.646,1641.2
0.0,137.341,1663.2
0.0,138.035,1687.2
0.0,138.73,1709.2
0.0,139.422,1737.2
0.0,140.117,1762.2
0.0,140.81,1790.2
0.0,141.504,1818.2
0.0,142.197,1849.2
0.0,142.891,1878.2
0.0,143.585,1908.2
0.0,144.277,1944.2
0.0,144.971,1979.2
0.0,145.664,2015.2
0.0,146.356,2055.2
0.0,147.048,2096.2
0.0,147.74,2134.2
0.0,148.438,2150.2
0.0,149.138,2163.2
0.0,149.838,2171.2
0.0,150.544,2159.2
0.0,151.245,2166.2
0.0,152.033,1883.5
0.0,152.739,1875.2
0.0,153.425,1921.5
0.0,154.106,1989.5
0.0,154.78,2088.5
0.0,155.481,2092.2
0.0,156.186,2084.2
0.0,156.894,2066.2
0.0,157.599,2058.2
0.0,158.304,2051.2
0.0,159.009,2042.2
0.0,159.715,2031.2
0.0,160.421,2020.2
0.0,161.126,2015.2
0.0,161.831,2008.2
0.0,162.536,1999.2
0.0,163.241,1993.2
0.0,163.946,1985.2
0.0,164.65,1979.2
0.0,165.355,1974.2
0.0,166.06,1966.2
0.0,166.764,1961.2
0.0,167.469,1956.2
0.0,168.173,1952.2
0.0,168.876,1949.2
0.0,169.581,1944.2
0.0,170.285,1938.2
0.0,170.988,1937.2
0.0,171.692,1934.2
0.0,172.396,1930.2
0.0,173.1,1928.2
0.0,173.804,1924.2
0.0,174.507,1923.2
0.0,175.225,1923.2
0.0,175.939,1923.2
0.0,176.652,1921.2
0.0,177.365,1922.2
0.0,178.08,1918.2
0.0,178.792,1920.2
0.0,179.505,1920.2
0.0,180.218,1920.2
0.0,180.932,1920.2
0.0,181.644,1921.2
0.0,182.357,1923.2
0.0,183.07,1923.2
0.0,183.783,1923.2
0.0,184.495,1927.2
0.0,185.208,1928.2
0.0,185.92,1930.2
0.0,186.631,1936.2
0.0,187.344,1937.2
0.0,188.055,1943.2
0.0,188.767,1948.2
0.0,189.479,1950.2
0.0,190.191,1954.2
0.0,190.902,1961.2
0.0,191.615,1963.2
0.0,192.33,1957.0
0.0,201.129,142.5
0.0,202.244,136.2
0.0,203.379,130.2
0.0,204.555,124.2
0.0,332.762,250.5
0.0,332.794,289.5
0.0,331.602,1263.5
0.0,332.15,1500.5
0.0,332.353,3836.5
0.0,359.367,2428.5
0.0,0.152,2099.5
0.0,0.865,2074.2
0.0,1.577,2053.2
0.0,2.281,2060.2
0.0,2.986,2062.2
0.0,3.691,2066.2
0.0,4.401,2051.2
0.0,5.108,2048.2
0.0,5.826,2051.2
0.0,6.531,2053.2
0.0,7.235,2056.2
0.0,7.939,2059.2
0.0,8.643,2063.2
0.0,9.347,2067.2
0.0,10.051,2073.2
0.0,10.755,2075.2
0.0,11.459,2079.2
0.0,12.165,2078.2
0.0,12.873,2068.2
0.0,13.581,2058.2
0.0,14.274,2099.2
0.0,14.967,2145.2
0.0,15.671,2147.2
0.0,16.38,2135.2
0.0,17.084,2138.2
0.0,17.787,2145.2
0.0,18.49,2153.2
0.0,19.193,2163.2
0.0,19.896,2170.2
0.0,20.598,2183.2
0.0,21.304,2179.2
0.0,22.01,2175.2
0.0,22.662,2402.5
0.0,23.333,2572.5
0.0,24.039,2569.2
